fromTid,toTid
tt0040522,tt0053976
tt0040522,tt0317248
tt0040522,tt0057869
tt0040522,tt0053198
tt0040522,tt0054248
tt0040522,tt0061512
tt0040522,tt0042804
tt0040522,tt0087843
tt0040522,tt0070379
tt0040522,tt0072890
tt0040522,tt0113247
tt0040746,tt0047396
tt0040746,tt0046912
tt0040746,tt0052357
tt0040746,tt0228786
tt0040746,tt0036342
tt0040746,tt0093223
tt0040746,tt0071877
tt0040746,tt1216487
tt0040746,tt0105236
tt0040746,tt0090756
tt0040746,tt0114814
tt0040746,tt0077413
tt0040897,tt0061770
tt0040897,tt0047478
tt0040897,tt0050086
tt0040897,tt0049730
tt0040897,tt0065126
tt0040897,tt0075029
tt0040897,tt0064115
tt0040897,tt0054047
tt0040897,tt0061619
tt0040897,tt0472043
tt0040897,tt0069113
tt0040897,tt0099348
tt0041959,tt0044079
tt0041959,tt0038109
tt0041959,tt0036342
tt0041959,tt0039302
tt0041959,tt0069281
tt0041959,tt0042593
tt0041959,tt0034248
tt0041959,tt0045555
tt0041959,tt0037008
tt0041959,tt0037469
tt0041959,tt0035279
tt0041959,tt0038355
tt0042192,tt0061184
tt0042192,tt0012532
tt0042192,tt0032551
tt0042192,tt0019344
tt0042192,tt0019788
tt0042192,tt0031679
tt0042192,tt0022834
tt0042192,tt0044081
tt0042192,tt0020298
tt0042192,tt0012763
tt0042192,tt0012938
tt0042192,tt0029606
tt0042876,tt0071315
tt0042876,tt0842929
tt0042876,tt0052561
tt0042876,tt0062229
tt0042876,tt0112688
tt0042876,tt0393109
tt0042876,tt0407887
tt0042876,tt0056592
tt0042876,tt0441909
tt0042876,tt0119488
tt0042876,tt0061955
tt0042876,tt0119448
tt0043014,tt0043338
tt0043014,tt0039041
tt0043014,tt0041786
tt0043014,tt0033107
tt0043014,tt0049949
tt0043014,tt0045877
tt0043014,tt0042792
tt0043014,tt0043090
tt0043014,tt0038057
tt0043014,tt0041487
tt0043014,tt0051036
tt0043014,tt0047880
tt0044079,tt0047396
tt0044079,tt0037469
tt0044079,tt0038787
tt0044079,tt0046912
tt0044079,tt0052357
tt0044079,tt0036342
tt0044079,tt0038109
tt0044079,tt0037008
tt0044079,tt0040746
tt0044079,tt0036775
tt0044079,tt0048728
tt0044079,tt0038355
tt0044706,tt0067411
tt0044706,tt0042531
tt0044706,tt0056195
tt0044706,tt0063032
tt0044706,tt0105695
tt0044706,tt0019585
tt0044706,tt0057163
tt0044706,tt0068421
tt0044706,tt0046303
tt0044706,tt1403865
tt0044706,tt0068762
tt0044706,tt0075213
tt0044741,tt0047445
tt0044741,tt0055499
tt0044741,tt0053390
tt0044741,tt0050613
tt0044741,tt0058888
tt0044741,tt0057358
tt0044741,tt0052572
tt0044741,tt0046438
tt0044741,tt0041154
tt0044741,tt0048473
tt0044741,tt0056058
tt0044741,tt0015064
tt0045152,tt0048140
tt0045152,tt0025164
tt0045152,tt0050419
tt0045152,tt0022074
tt0045152,tt0041716
tt0045152,tt0029546
tt0045152,tt0427327
tt0045152,tt0026778
tt0045152,tt0028333
tt0045152,tt0037514
tt0045152,tt0027125
tt0045152,tt0051658
tt0046250,tt0050105
tt0046250,tt0053604
tt0046250,tt0061722
tt0046250,tt0033045
tt0046250,tt0276751
tt0046250,tt0047437
tt0046250,tt0098635
tt0046250,tt1022603
tt0046250,tt0054698
tt0046250,tt0314331
tt0046250,tt0041090
tt0046250,tt0301357
tt0046359,tt0059309
tt0046359,tt0038235
tt0046359,tt0038890
tt0046359,tt0093209
tt0046359,tt0045659
tt0046359,tt0078788
tt0046359,tt0114279
tt0046359,tt0054749
tt0046359,tt0059274
tt0046359,tt0077416
tt0046359,tt0093058
tt0046359,tt0020960
tt0046911,tt0071315
tt0046911,tt0073540
tt0046911,tt0051201
tt0046911,tt0069995
tt0046911,tt0119167
tt0046911,tt0062229
tt0046911,tt0054167
tt0046911,tt0061811
tt0046911,tt0119488
tt0046911,tt0035753
tt0046911,tt0054215
tt0046911,tt0053459
tt0046912,tt0338564
tt0046912,tt0112722
tt0046912,tt0228786
tt0046912,tt0083908
tt0046912,tt0021165
tt0046912,tt0071877
tt0046912,tt0093223
tt0046912,tt0040746
tt0046912,tt0090756
tt0046912,tt0105236
tt0046912,tt1216487
tt0046912,tt0077413
tt0047296,tt0067549
tt0047296,tt0171804
tt0047296,tt0456396
tt0047296,tt0069762
tt0047296,tt0117509
tt0047296,tt0061512
tt0047296,tt0086066
tt0047296,tt0080388
tt0047296,tt0029453
tt0047296,tt0028096
tt0047296,tt0114660
tt0047296,tt0043386
tt0047396,tt0105236
tt0047396,tt0044079
tt0047396,tt0090756
tt0047396,tt0058329
tt0047396,tt0046912
tt0047396,tt0032976
tt0047396,tt0052357
tt0047396,tt0037008
tt0047396,tt0048728
tt0047396,tt0071877
tt0047396,tt0040746
tt0047396,tt0114814
tt0047478,tt0172495
tt0047478,tt0078513
tt0047478,tt0056714
tt0047478,tt0054953
tt0047478,tt0317648
tt0047478,tt0955308
tt0047478,tt0066603
tt0047478,tt0078243
tt0047478,tt0472043
tt0047478,tt0036400
tt0047478,tt0089153
tt0047478,tt0069113
