filename,tid,title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,meanGenre,sdGenre,minGenre,maxGenre
titles01/tt0169547,tt0169547,American Beauty (1999),american beauty,http://www.imdb.com/title/tt0169547/,8.5,602828,7320,1999,video.movie,91,74,88,2285,2648,1,6361.00000,0.00000,6361,6361
titles01/tt0172495,tt0172495,Gladiator (2000),gladiator,http://www.imdb.com/title/tt0172495/,8.5,661296,9300,2000,video.movie,51,80,197,2447,2277,3,3491.66667,2030.91200,1947,6361
titles01/tt0209144,tt0209144,Memento (2000),memento,http://www.imdb.com/title/tt0209144/,8.6,605480,6780,2000,video.movie,47,34,72,1748,1976,2,1612.00000,393.00000,1219,2005
titles01/tt0338013,tt0338013,Vergiss mein nicht (2004),vergiss mein nicht,http://www.imdb.com/title/tt0338013/,8.4,475849,6480,2004,video.movie,46,54,52,1324,1448,2,4168.50000,2192.50000,1976,6361
titles01/tt0088763,tt0088763,Zurück in die Zukunft (1985),zur ck in die zukunft,http://www.imdb.com/title/tt0088763/,8.5,478445,6960,1985,video.movie,13,24,78,3628,680,2,3289.00000,1342.00000,1947,4631
titles01/tt0102926,tt0102926,Das Schweigen der Lämmer (1991),das schweigen der l mmer,http://www.imdb.com/title/tt0102926/,8.6,584102,7080,1991,video.movie,44,30,80,1076,798,3,3458.00000,2052.73135,2005,6361
titles01/tt0103064,tt0103064,Terminator 2 - Tag der Abrechnung (1991),terminator tag der abrechnung,http://www.imdb.com/title/tt0103064/,8.5,523543,8220,1991,video.movie,20,19,71,855,869,2,2086.00000,81.00000,2005,2167
titles01/tt0105236,tt0105236,Reservoir Dogs - Wilde Hunde (1992),reservoir dogs wilde hunde,http://www.imdb.com/title/tt0105236/,8.4,454684,5940,1992,video.movie,11,9,72,1603,855,2,2006.50000,1.50000,2005,2008
titles01/tt0110413,tt0110413,Léon - Der Profi (1994),l on der profi,http://www.imdb.com/title/tt0110413/,8.6,501117,6600,1994,video.movie,3,8,58,1194,754,3,3458.00000,2052.73135,2005,6361
titles01/tt0076759,tt0076759,Krieg der Sterne (1977),krieg der sterne,http://www.imdb.com/title/tt0076759/,8.7,631839,7260,1977,video.movie,35,26,190,23660,1325,3,1707.66667,502.12969,1009,2167
titles01/tt0082971,tt0082971,Jäger des verlorenen Schatzes (1981),j ger des verlorenen schatzes,http://www.imdb.com/title/tt0082971/,8.6,473742,6900,1981,video.movie,25,22,69,2004,691,2,2057.00000,110.00000,1947,2167
